"Tabela 12 - Número de animais abatidos por espécie e variação, ",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
segundo os meses - Brasil - 2021 - 2022,,,,,,,,,
,,,,,,,,,
Mês,Número de animais abatidos (mil cabeças) e variação (%),,,,,,,,
,Bovinos,,,Suínos,,,Frangos,,
,2021,2022.0,Variação,2021,2022.0,Variação,2021,2022.0,Variação
Total do ano,20743.362,22223.468,7.13532357965887,39608.667,42219.325,6.591128148796321,4634961.384,4601524.292,-0.721410368496811
Total do 1º Trimestre,6597.323,6983.59,5.85490508801827,12721.48,13654.532,7.334461084716559,1573041.069,1546020.21,-1.717746569527101
 Janeiro ,2129.514,2269.519,6.574504793112412,4065.953,4377.646,7.665927274614326,512153.098,507613.866,-0.8863037278747488
 Fevereiro ,2179.144,2234.499,2.5402176267378396,4049.563,4321.87,6.724355195856924,492004.925,489321.534,-0.5453992152619214
 Março ,2288.665,2479.572,8.341413007146103,4605.964,4955.016,7.578261575644096,568883.046,549084.81,-3.480194415918647
Total do 2º Trimestre,7126.495,7386.298,3.645592959792987,13127.078,14111.746,7.501044786966293,1524992.721,1504282.228,-1.3580715969856771
 Abril ,2247.438,2257.721,0.45754321142563725,4211.931,4417.169,4.8727768807228955,502633.974,478161.495,-4.868846967356011
 Maio ,2421.847,2591.141,6.990284687678439,4441.623,4855.679,9.322177951618137,519653.574,521439.124,0.34360391024654824
 Junho ,2457.21,2537.436,3.264922412003868,4473.524,4838.898,8.167476021141272,502705.173,504681.609,0.3931600679987435
Total do 3º Trimestre,7019.544,7853.58,11.8816264988153,13760.109,14453.047,5.035846736388505,1536927.594,1551221.854,0.9300542234912834
 Julho ,2534.611,2594.438,2.3604016553230522,4685.68,4744.988,1.2657287736251632,516757.905,509944.833,-1.318426275452922
 Agosto ,2546.943,2694.735,5.802721144525025,4619.086,5004.57,8.345460552152506,518370.935,531562.042,2.5447234999778745
 Setembro ,1937.99,2564.407,32.323025402607875,4455.343,4703.489,5.569627299177626,501798.754,509714.979,1.577569680453994
Total do 4º Trimestre,,,,,,,,,
 Outubro ,,,,,,,,,
 Novembro ,,,,,,,,,
 Dezembro ,,,,,,,,,
,,,,,,,,,
"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Estatisticas Agropecuárias - Pesquisa Trimestral do Abate de Animais",,,,,,,,,
Nota: Os dados relativos ao ano de 2022 são preliminares.,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Tabela 1a - ,"Peso total das carcaças dos animais abatidos por espécie e variação, ",,,,,,,,
segundo os meses - Brasil - 2021 - 2022,,,,,,,,,
,,,,,,,,,
Mês,Peso total das carcaças de animais abatidos (toneladas) e variação (%),,,,,,,,
,Bovinos,,,Suínos,,,Frangos,,
,2021,2022.0,Variação,2021,2022.0,Variação,2021,2022.0,Variação
Total do ano,5530777.029,5922451.536,7.081726581026482,3670608.137,3889889.536,5.973980082200203,10930952.42,11157350.492,2.0711651034704737
Total do 1º Trimestre,1731900.258,1841972.813,6.355594353170901,1165713.417,1246160.072,6.901066233502906,3679952.725,3764784.683,2.305245864265837
 Janeiro ,564826.102,610759.216,8.132257669635834,371707.21,399292.156,7.421149027483209,1201316.825,1233866.477,2.7094977213858673
 Fevereiro ,572294.459,584879.537,2.199056412670952,369979.602,393412.472,6.333557275408919,1152221.234,1201024.647,4.235593960595252
 Março ,594779.697,646334.06,8.667808141406685,424026.605,453455.444,6.940328425854325,1326414.666,1329893.559,0.2622779353375959
Total do 2º Trimestre,1887228.796,1946915.283,3.1626524100578646,1226692.721,1310270.859,6.8132904491246205,3603565.966,3647234.238,1.2118072046415795
 Abril ,588476.988,589906.135,0.24285520575020314,391381.438,410703.931,4.936997804172805,1193001.891,1159043.7,-2.846449050599209
 Maio ,640816.129,684539.135,6.823018963057348,416327.012,450407.234,8.18592621129277,1226813.535,1268733.163,3.4169518679136646
 Junho ,657935.679,672470.013,2.209081292276305,418984.271,449159.694,7.202041959231442,1183750.54,1219457.375,3.016415519438742
Total do 3º Trimestre,1911647.975,2133563.44,11.60859467339952,1278201.999,1333458.605,4.322994803890934,3647433.729,3745331.571,2.684019759471834
 Julho ,684107.496,696923.907,1.8734498708080194,438011.441,441349.509,0.7620960750201133,1230248.355,1231557.644,0.1064247714438249
 Agosto ,698094.745,733232.196,5.033335553901064,428968.982,460625.755,7.379734742685895,1224795.275,1280059.215,4.512096113368846
 Setembro ,529445.734,703407.337,32.8573056365395,411221.576,431483.341,4.927213498155547,1192390.099,1233714.712,3.465695751302955
Total do 4º Trimestre,,,,,,,,,
 Outubro ,,,,,,,,,
 Novembro ,,,,,,,,,
 Dezembro ,,,,,,,,,
,,,,,,,,,
"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Estatísticas Agropecuária - Pesquisa Trimestral do Abate de Animais",,,,,,,,,
Nota: Os dados relativos ao ano de 2022 são preliminares.,,,,,,,,,
