"Tabela 12 - Número de animais abatidos por espécie e variação, ",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
segundo os meses - Brasil - 2017 - 2018,,,,,,,,,
,,,,,,,,,
Mês,Número de animais abatidos (mil cabeças) e variação (%),,,,,,,,
,Bovinos,,,Suínos,,,Frangos,,
,2017,2018.0,Variação,2017,2018.0,Variação,2017,2018.0,Variação
Total do ano,30866.663,31901.239,3.3517584975091053,43185.385,44201.147000000004,2.352096664183967,5842721.214000001,5698493.766000001,-2.4684978577175665
Total do 1º Trimestre,7398.12,7744.754,4.685433596643462,10479.699,10718.94,2.2828995374771788,1496769.154,1478794.049,-1.2009270068108258
 Janeiro ,2473.739,2667.166,7.819216174382193,3529.416,3684.069,4.3818297418042995,505531.92,511752.062,1.2304152821843495
 Fevereiro ,2324.082,2425.949,4.38310696438422,3222.589,3328.73,3.293656125556188,459310.498,464629.403,1.1580194711769742
 Março ,2600.299,2651.639,1.9743883299574438,3727.694,3706.141,-0.5781858704067444,531926.736,502412.584,-5.548537045146773
Total do 2º Trimestre,7423.406,7734.146,4.185949145176759,10616.736,10826.477,1.975569515903941,1433964.85,1376795.839,-3.9867791041042766
 Abril ,2125.479,2608.383,22.71977281356343,3140.624,3671.121,16.891452144541997,447662.83,484735.648,8.281415278547911
 Maio ,2740.361,2303.795,-15.930966759488985,3824.748,3096.284,-19.046065257109746,510562.2,406446.715,-20.39232144486999
 Junho ,2557.566,2821.968,10.33803233230346,3651.364,4059.072,11.16590950669394,475739.82,485613.476,2.075431903093583
Total do 3º Trimestre,7986.421,8280.746,3.6853178664134845,11035.606,11558.819,4.74113519456929,1482650.523,1426424.434,-3.792268516941677
 Julho ,2675.512,2839.57,6.13183570097986,3667.1,4005.368,9.224400752638328,486053.245,470995.151,-3.0980338378360117
 Agosto ,2805.361,2921.012,4.122499742457397,3870.486,4076.932,5.333852131231054,520672.687,506899.033,-2.645357504608259
 Setembro ,2505.548,2520.164,0.5833454398000093,3498.02,3476.519,-0.6146620087935539,475924.591,448530.25,-5.756025538087817
Total do 4º Trimestre,8058.716,8141.593,1.028414452128601,11053.344,11096.911,0.394152213122112,1429336.687,1416479.444,-0.8995251515572456
 Outubro ,2645.615,2799.639,5.821859945608132,3758.229,3885.075,3.375153563021316,480418.672,501885.05,4.468264713907688
 Novembro ,2602.97,2650.039,1.8082805410742475,3644.096,3630.937,-0.36110464707845846,470714.638,464696.5,-1.2785109096182357
 Dezembro ,2810.131,2691.915,-4.206778972225845,3651.019,3580.899,-1.9205597122337603,478203.377,449897.894,-5.919130721655275
,,,,,,,,,
"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Agropecuária - Pesquisa Trimestral do Abate de Animais",,,,,,,,,
Nota: Os dados relativos ao ano de 2018 são preliminares.,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Tabela 1a - ,"Peso total das carcaças dos animais abatidos por espécie e variação, ",,,,,,,,
segundo os meses - Brasil - 2017 - 2018,,,,,,,,,
,,,,,,,,,
